give me some recipes with chicken and mushroom,recipes
I want to cook some Mexican food,recipes
I want some Japanese food,recipes
can you find me some popular recipes,recipes
what are some recipes with beef and potato,recipes
how to make chocolate,recipes
how to make a burger,recipes
I want to eat grilled chicked,recipes
I want to have some indian food for dinner,recipes
I want to eat some sushi,recipes
find me some Chinese food,recipes
what are some recipes with lettuce and tomato,recipes
do you know any Korean food recipes,recipes
start a timer,timer
set a timer,timer
create a timer,timer
set a timer for 20 minutes,timer
create a timer for 2 hours,timer
create a timer for 30 seconds,timer
set a timer for 1 minute,timer
create a timer for 1 hour and 30 minutes,timer
set a timer for 10 minutes and 15 seconds,timer
start a timer for 90 minutes,timer
start a timer for 45 minutes and 10 seconds,timer
start the recipe,nav_start
start,nav_start
show me the instructions,nav_start
how to make it,nav_start
let's do this,nav_start
show me how to make it,nav_start
let's make it,nav_start
show me the cooking instructions,nav_start
go,nav_start
abort the recipe,close_window
stop,close_window
end,close_window
quit,close_window
close,close_window
cease,close_window
close window,close_window
can you close the window,close_window
finish,close_window
terminate,close_window
abort,close_window
go to the previous step,nav_prev
go back,nav_prev
last step,nav_prev
what's the last step,nav_prev
go to the next step,nav_next
next step,nav_next
what's next,nav_next
continue,nav_next
read it,read
read the instruction to me,read
can you read it,read
can you read the instruction,read
say that again,read
repeat it,read
what did you say,read
how many grams in a pound,unit_conversion
how many cups in three gallons,unit_conversion
how many fluid ounces in two pints,unit_conversion
how many ounces in a cup,unit_conversion
how many gallons in eight cups,unit_conversion
how many pints in a quart,unit_conversion
how many grams in six pounds,unit_conversion
how many kilograms in twenty seven grams,unit_conversion
how many ounces in a gallon,unit_conversion
how many grams in an ounce,unit_conversion
how many ounces in three pounds,unit_conversion
ounces in a cup,unit_conversion
grams in 3 pounds,unit_conversion
gram to cup,unit_conversion
eight grams to pounds,unit_conversion
ounce to gram,unit_conversion
three teaspoons to tablespoons,unit_conversion
pint to ounce,unit_conversion
nine pints to gallons,unit_conversion
gallon to cup,unit_conversion
sixteen gallons to cups,unit_conversion
celsius to fahrenheit,unit_conversion
forty two degrees fahrenheit to celsius,unit_conversion
minus three degrees celsius to fahrenheit,unit_conversion
negative ten degrees fahrenheit to celsius,unit_conversion
four hundred degrees celsius to fahrenheit,unit_conversion
how many degrees celsius is one hundred degrees fahrenheit,unit_conversion
